Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FKWR,FDPR,ct_wr,t_wr,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,total_mult_kill,total_clutch,MKPR,CPR,0,astra,breach,brimstone,cypher,jett,killjoy,omen,phoenix,raze,reyna,sage,skye,sova,viper,yoru
mwzera,raze,294,24,18,7,6,171.2,21,2,4,-2,6526,GL,RED,13,11,10,2,3,9,SPLIT,0.0,24,54.17,1.0,0.75,0.29,0.08,33.33,0.17,83.33,25.0,W,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59,1,2,GL,RED,0.0,5.0,0.0,0.21,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jonn,jett,238,20,17,3,3,121.2,19,7,5,2,6526,GL,RED,13,11,10,2,3,9,SPLIT,0.0,24,54.17,0.83,0.71,0.12,0.29,58.33,0.21,83.33,25.0,W,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50,0,0,GL,RED,0.0,7.0,1.0,0.29,0.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fznnn,cypher,194,17,14,6,3,104.2,24,2,2,0,6526,GL,RED,13,11,10,2,3,9,SPLIT,0.0,24,54.17,0.71,0.58,0.25,0.08,50.0,0.08,83.33,25.0,W,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0,0,GL,RED,0.0,5.0,0.0,0.21,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nyang,breach,186,15,14,14,1,111.4,18,1,0,1,6526,GL,RED,13,11,10,2,3,9,SPLIT,0.0,24,54.17,0.62,0.58,0.58,0.04,100.0,0.0,83.33,25.0,W,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44,2,1,GL,RED,0.0,4.0,1.0,0.17,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JhoW,omen,177,13,17,12,-4,112.3,13,0,1,-1,6526,GL,RED,13,11,10,2,3,9,SPLIT,0.0,24,54.17,0.54,0.71,0.5,0.0,0.0,0.04,83.33,25.0,W,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,1,1,GL,RED,0.0,2.0,0.0,0.08,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jonn,reyna,333,18,9,2,9,168.7,25,5,3,2,6052,GL,FKL,13,2,10,2,3,0,BIND,0.0,15,86.67,1.2,0.6,0.13,0.33,62.5,0.2,83.33,100.0,W,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,GL,FKL,1.12,6.0,0.0,0.4,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mwzera,raze,327,18,8,6,10,204.9,16,2,2,0,6052,GL,FKL,13,2,10,2,3,0,BIND,0.0,15,86.67,1.2,0.53,0.4,0.13,50.0,0.13,83.33,100.0,W,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,0,0,GL,FKL,1.12,6.0,0.0,0.4,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fznnn,sova,254,14,8,7,6,152.0,24,0,1,-1,6052,GL,FKL,13,2,10,2,3,0,BIND,0.0,15,86.67,0.93,0.53,0.47,0.0,0.0,0.07,83.33,100.0,W,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84,0,0,GL,FKL,1.12,5.0,1.0,0.33,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JhoW,cypher,227,15,7,4,8,132.7,25,1,0,1,6052,GL,FKL,13,2,10,2,3,0,BIND,0.0,15,86.67,1.0,0.47,0.27,0.07,100.0,0.0,83.33,100.0,W,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,1,0,GL,FKL,1.12,5.0,1.0,0.33,0.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nyang,omen,115,6,6,6,0,73.8,20,0,1,-1,6052,GL,FKL,13,2,10,2,3,0,BIND,0.0,15,86.67,0.4,0.4,0.4,0.0,0.0,0.07,83.33,100.0,W,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39,2,1,GL,FKL,1.12,0.0,1.0,0.0,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
