Team_x,match_id,Map,ACS,K,D,A,KD_DIFF,ADR,HS%,ECON,FK,FD,KPR,DPR,APR,FKPR,FDPR,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,PL,DE,total_mult_kill,MKPR,total_clutch,CPR,jett,raze,phoenix,reyna,yoru,omen,brimstone,viper,cypher,sage,killjoy,breach,sova,skye,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Patch_x,total_rounds,win_rate,ct_wr,t_wr,RESULT,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
BD,2977,HAVEN,179.0,12.6,15.8,5.8,-3.2,117.76,20.8,48.6,8,13,3.0000000000000004,3.76,1.38,0.39,0.6200000000000001,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,11.0,0.53,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,FAKE,8,13,5,7,3,6,1.08,21,38.1,41.67,33.33,L,BD,0,2,0.0,4,0,0.0,2,0,0.0,0,0,0.0,15,8,53.0,FAKEZIN,1.0,1.08
BD,2977,SPLIT,182.6,13.2,16.2,2.6,-3.0,113.6,22.6,45.4,11,10,3.15,3.8599999999999994,0.6200000000000001,0.53,0.48000000000000004,9,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8,3,13.0,0.64,2.0,0.1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,FAKE,8,13,4,5,4,8,1.08,21,38.1,44.44,33.33,L,BD,1,2,50.0,4,1,25.0,1,0,0.0,2,0,0.0,14,7,50.0,FAKEZIN,1.0,1.08
BD,3467,BIND,102.8,3.8,13.4,1.2,-9.6,69.38,28.8,29.4,2,12,1.36,4.790000000000001,0.42000000000000004,0.14,0.85,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0,1.0,0.07,1.0,0.07,0,1,1,0,0,0,1,0,1,0,0,0,1,0,Estral,1,13,0,2,1,11,1.09,14,7.14,0.0,8.33,L,BD,0,2,0.0,3,0,0.0,3,0,0.0,3,1,33.0,5,0,0.0,Estral,1.0,1.09
BD,3470,ASCENT,215.8,16.2,12.6,7.2,3.6,129.92,22.4,55.8,11,10,3.86,2.99,1.71,0.53,0.48,9,6,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8,2,18.0,0.86,1.0,0.05,1,0,1,0,0,1,0,0,0,0,1,0,1,0,novi,13,8,8,1,5,7,1.09,21,61.9,88.89,41.67,W,BD,2,2,100.0,2,2,100.0,2,0,0.0,5,2,40.0,12,9,75.0,novidades em breve,1.0,1.09
BD,3475,ASCENT,182.4,12.0,14.8,4.6,-2.8,117.96,19.4,49.4,7,13,3.0000000000000004,3.7,1.15,0.35000000000000003,0.65,7,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,5,13.0,0.65,1.0,0.05,1,0,1,0,0,1,0,0,0,0,1,0,1,0,VIMD,7,13,7,5,0,8,1.09,20,35.0,58.33,0.0,L,BD,0,2,0.0,4,0,0.0,1,0,0.0,2,0,0.0,13,7,54.0,VIMDOLOL,1.0,1.09
BD,4026,ASCENT,224.8,16.8,12.8,4.6,4.0,141.26,25.4,54.6,11,9,4.2,3.1999999999999997,1.15,0.55,0.44999999999999996,16,5,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7,1,22.0,1.1,3.0,0.15,0,1,0,1,0,1,0,0,0,0,1,0,1,0,DG,13,7,6,2,7,5,1.1,20,65.0,75.0,58.33,W,BD,2,2,100.0,2,2,100.0,0,0,0.0,8,5,62.0,10,6,60.0,DG,1.0,1.1
BD,4029,BIND,187.0,13.2,16.0,3.4,-2.8,121.6,24.0,52.0,6,15,3.14,3.81,0.8099999999999999,0.29,0.71,13,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6,3,17.0,0.82,1.0,0.05,1,1,0,0,0,1,0,0,1,0,0,0,1,0,novi,8,13,5,7,3,6,1.1,21,38.1,41.67,33.33,L,BD,2,2,100.0,2,2,100.0,5,1,20.0,3,1,33.0,11,4,36.0,novidades em breve,1.0,1.1
BD,4030,BIND,220.8,16.6,13.8,5.6,2.8,134.5,27.2,55.8,9,12,3.94,3.2799999999999994,1.34,0.44999999999999996,0.5700000000000001,12,7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,9,2,22.0,1.05,1.0,0.05,0,1,0,1,0,1,0,0,1,0,0,0,1,0,NEW,13,8,5,4,8,4,1.1,21,61.9,55.56,66.67,W,BD,0,2,0.0,4,0,0.0,0,0,0.0,2,2,100.0,15,11,73.0,NEW,1.0,1.1
BD,4694,BIND,216.8,19.6,15.4,7.0,4.2,134.6,24.0,51.8,12,14,3.77,2.95,1.3399999999999999,0.48000000000000004,0.55,25,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,32.0,1.23,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,DG,14,12,10,2,2,10,1.1,26,53.85,83.33,16.67,W,BD,1,2,50.0,3,1,33.0,0,0,0.0,2,1,50.0,21,12,57.0,DG,1.0,1.1
BD,4697,BIND,205.2,17.2,15.8,5.2,1.4,130.28,23.0,51.2,13,10,3.74,3.4299999999999997,1.13,0.5700000000000001,0.42999999999999994,18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,21.0,0.9000000000000001,0.0,0.0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,novi,10,13,4,7,6,6,1.1,23,43.48,36.36,50.0,L,BD,2,2,100.0,2,2,100.0,1,1,100.0,8,5,62.0,12,2,17.0,novidades em breve,1.0,1.1
BD,4905,BIND,244.2,14.8,7.4,5.8,7.4,146.78,23.6,62.8,11,5,4.64,2.32,1.8199999999999998,0.6900000000000001,0.31,15,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,20.0,1.25,0.0,0.0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,LAET,13,3,9,3,4,0,1.11,16,81.25,75.0,100.0,W,BD,2,2,100.0,2,2,100.0,0,0,0.0,4,3,75.0,10,8,80.0,LAETUS Gaming,1.0,1.11
BD,4943,HAVEN,180.8,12.6,14.4,5.2,-1.8,115.04,19.4,43.8,11,10,2.99,3.42,1.25,0.54,0.47000000000000003,9,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,1,14.0,0.6799999999999999,1.0,0.05,1,1,0,0,0,1,0,0,1,0,0,0,1,0,Mix,8,13,2,7,6,6,1.1,21,38.1,22.22,50.0,L,BD,1,2,50.0,2,1,50.0,1,0,0.0,9,5,56.0,9,2,22.0,Mix,1.0,1.1
BD,4943,SPLIT,200.4,16.6,17.4,5.8,-0.8,120.32,21.4,46.8,13,11,3.46,3.62,1.21,0.54,0.45,14,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8,2,18.0,0.75,1.0,0.04,1,1,0,0,0,1,0,0,1,0,0,1,0,0,Mix,11,13,5,7,6,6,1.1,24,45.83,41.67,50.0,L,BD,2,2,100.0,2,2,100.0,3,1,33.0,7,3,43.0,12,5,42.0,Mix,1.0,1.1
BD,5274,ASCENT,213.8,14.8,12.4,6.6,2.4,126.5,17.4,56.6,10,10,3.7,3.1,1.65,0.49999999999999994,0.49999999999999994,10,3,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5,3,15.0,0.7500000000000001,2.0,0.1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,tiob,13,7,9,3,4,4,1.12,20,65.0,75.0,50.0,W,BD,0,2,0.0,4,0,0.0,1,1,100.0,1,1,100.0,14,11,79.0,tiobaṛo,1.0,1.12
BD,5274,BIND,238.6,14.0,9.8,5.6,4.2,144.08,22.8,60.0,8,8,4.37,3.06,1.75,0.5,0.49,17,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4,2,21.0,1.3199999999999998,2.0,0.12,1,1,0,0,0,1,0,0,1,0,0,0,1,0,tiob,13,3,9,3,4,0,1.12,16,81.25,75.0,100.0,W,BD,2,2,100.0,3,2,67.0,0,0,0.0,3,2,67.0,10,9,90.0,tiobaṛo,1.0,1.12
BD,5283,ASCENT,175.8,11.4,16.0,3.4,-4.6,110.68,25.6,44.8,4,16,2.8499999999999996,4.0,0.85,0.2,0.8,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,18.0,0.9000000000000001,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,paiN,7,13,4,4,3,9,1.12,20,35.0,50.0,25.0,L,BD,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,11,4,36.0,paiN,1.0,1.12
BD,5283,SPLIT,181.2,14.0,17.2,6.0,-3.2,119.84,19.4,48.6,11,12,3.05,3.7399999999999998,1.3,0.47000000000000003,0.52,9,3,2.0,1.0,1.0,2.0,0.0,0.0,0.0,6,3,15.0,0.6599999999999999,3.0,0.12,1,1,0,0,0,1,0,0,1,0,0,1,0,0,paiN,10,13,6,6,4,7,1.12,23,43.48,50.0,36.36,L,BD,2,2,100.0,3,2,67.0,2,1,50.0,6,3,50.0,12,4,33.0,paiN,1.0,1.12
BD,5995,SPLIT,190.8,15.2,17.6,5.2,-2.4,117.38,26.2,46.0,9,14,3.3099999999999996,3.83,1.13,0.38,0.61,17,5,1.0,0.0,3.0,1.0,0.0,0.0,0.0,4,4,23.0,1.0,4.0,0.17,1,1,0,0,0,1,0,0,1,0,0,1,0,0,oNe,10,13,9,3,1,10,1.12,23,43.48,75.0,9.09,L,BD,1,2,50.0,3,1,33.0,3,0,0.0,2,0,0.0,15,9,60.0,oNe,1.0,1.12
