Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
jacobin,breach,171,13,15,7,-2,116.2,34,0,2,-2,5271,NMDM,VK,9,13,7,3,2,10,ASCENT,
ducKw0w,jett,126,10,16,1,-6,81.5,21,1,5,-4,5271,NMDM,VK,9,13,7,3,2,10,ASCENT,
flainzz,cypher,226,19,12,1,7,155.2,31,1,1,0,5271,VK,NMDM,8,13,1,8,7,5,HAVEN,
NikkoLAN,jett,197,13,18,3,-5,108.1,24,5,4,1,5271,VK,NMDM,8,13,1,8,7,5,HAVEN,
FLG1,breach,197,13,17,11,-4,130.3,24,1,1,0,5271,VK,NMDM,8,13,1,8,7,5,HAVEN,
patochovsk,brimstone,189,11,15,2,-4,122.3,16,1,5,-4,5271,VK,NMDM,8,13,1,8,7,5,HAVEN,
NANZIN,sova,187,12,15,7,-3,173.4,15,1,1,0,5271,VK,NMDM,8,13,1,8,7,5,HAVEN,
jacobin,raze,361,27,11,8,16,209.5,27,4,2,2,5271,NMDM,VK,13,8,5,7,8,1,HAVEN,
ceegu1N,brimstone,222,17,13,4,4,120.0,26,3,2,1,5271,NMDM,VK,13,8,5,7,8,1,HAVEN,
Pernalonga,phoenix,199,13,14,5,-1,136.0,19,3,3,0,5271,NMDM,VK,13,8,5,7,8,1,HAVEN,
dio9x,sova,129,10,13,11,-3,84.8,21,0,2,-2,5271,NMDM,VK,13,8,5,7,8,1,HAVEN,
ducKw0w,cypher,118,10,17,5,-7,68.0,14,2,0,2,5271,NMDM,VK,13,8,5,7,8,1,HAVEN,
scraw,omen,292,23,13,8,10,185.8,36,3,0,3,5254,Feio,NMDM,13,10,5,7,8,3,ASCENT,
jowzikk,jett,203,17,17,3,0,175.8,30,2,3,-1,5254,Feio,NMDM,13,10,5,7,8,3,ASCENT,
RaffaaoT,reyna,201,16,16,6,0,170.4,13,1,5,-4,5254,Feio,NMDM,13,10,5,7,8,3,ASCENT,
fame,cypher,199,18,15,3,3,121.4,21,1,2,-1,5254,Feio,NMDM,13,10,5,7,8,3,ASCENT,
stkJ,breach,182,14,18,8,-4,101.6,30,4,2,2,5254,Feio,NMDM,13,10,5,7,8,3,ASCENT,
ducKw0w,jett,284,22,18,3,4,153.5,26,6,1,5,5254,NMDM,Feio,10,13,3,8,7,5,ASCENT,
jacobin,breach,280,23,16,8,7,155.2,28,0,1,-1,5254,NMDM,Feio,10,13,3,8,7,5,ASCENT,
dio9x,sova,173,15,18,4,-3,96.9,22,4,2,2,5254,NMDM,Feio,10,13,3,8,7,5,ASCENT,
