Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
rst,138,9,15,1,-6,75.4,7,1,1,0,9260,IMP,VKS,MATCH,1,2.01
saadhak,260,16,9,7,7,171.5,16,1,0,1,9260,VKS,IMP,MATCH,1,2.01
sutecas,258,19,14,7,5,148.7,16,1,2,-1,9260,VKS,IMP,MATCH,1,2.01
Sacy,236,19,9,9,10,139.3,19,4,0,4,9260,VKS,IMP,MATCH,1,2.01
gtnziN,212,13,13,10,0,150.5,21,0,3,-3,9260,VKS,IMP,MATCH,1,2.01
frz,181,13,12,7,1,99.1,16,4,4,0,9260,VKS,IMP,MATCH,1,2.01
Evilkyk,259,52,35,18,17,162.4,41,5,3,2,9104,IMP,fave,MATCH,2,2.01
tuyz,231,41,39,12,2,137.7,25,16,7,9,9104,IMP,fave,MATCH,2,2.01
rst,211,43,30,17,13,148.5,14,2,4,-2,9104,IMP,fave,MATCH,2,2.01
Biscoit1n,176,34,37,10,-3,105.3,17,2,5,-3,9104,IMP,fave,MATCH,2,2.01
gustt1nha,167,27,43,18,-16,114.9,17,3,7,-4,9104,IMP,fave,MATCH,2,2.01
aspas,304,57,40,13,17,193.6,26,8,7,1,9104,fave,IMP,MATCH,2,2.01
Nether,240,46,39,12,7,156.3,33,7,6,1,9104,fave,IMP,MATCH,2,2.01
cad,181,33,41,7,-8,121.5,17,7,8,-1,9104,fave,IMP,MATCH,2,2.01
prince,171,28,39,21,-11,136.8,21,3,3,0,9104,fave,IMP,MATCH,2,2.01
akemy,106,20,38,5,-18,76.4,24,1,4,-3,9104,fave,IMP,MATCH,2,2.01
tuyz,270,16,18,4,-2,175.2,24,5,1,4,9260,IMP,VKS,MATCH,1,2.01
Evilkyk,193,12,16,5,-4,135.2,32,0,2,-2,9260,IMP,VKS,MATCH,1,2.01
Biscoit1n,164,10,16,3,-6,108.6,38,3,5,-2,9260,IMP,VKS,MATCH,1,2.01
gustt1nha,149,10,15,5,-5,85.9,22,0,1,-1,9260,IMP,VKS,MATCH,1,2.01
rst,138,9,15,1,-6,75.4,7,1,1,0,9260,IMP,VKS,MATCH,1,2.01
saadhak,260,16,9,7,7,171.5,16,1,0,1,9260,VKS,IMP,MATCH,1,2.01
sutecas,258,19,14,7,5,148.7,16,1,2,-1,9260,VKS,IMP,MATCH,1,2.01
Sacy,236,19,9,9,10,139.3,19,4,0,4,9260,VKS,IMP,MATCH,1,2.01
gtnziN,212,13,13,10,0,150.5,21,0,3,-3,9260,VKS,IMP,MATCH,1,2.01
frz,181,13,12,7,1,99.1,16,4,4,0,9260,VKS,IMP,MATCH,1,2.01
rhamurti,242,34,33,14,1,153.5,21,5,5,0,9426,DLWZK,IMP,MATCH,2,2.01
BRNWOWZK1,202,25,33,14,-8,140.0,15,1,5,-4,9426,DLWZK,IMP,MATCH,2,2.01
heat,194,31,33,5,-2,122.1,36,3,7,-4,9426,DLWZK,IMP,MATCH,2,2.01
fluyr,175,23,36,12,-13,112.5,12,3,5,-2,9426,DLWZK,IMP,MATCH,2,2.01
zam,136,21,34,6,-13,96.2,20,3,5,-2,9426,DLWZK,IMP,MATCH,2,2.01
Evilkyk,321,45,24,18,21,193.3,32,12,5,7,9426,IMP,DLWZK,MATCH,2,2.01
tuyz,296,46,29,11,17,183.5,27,6,3,3,9426,IMP,DLWZK,MATCH,2,2.01
rst,178,29,22,10,7,129.7,12,2,3,-1,9426,IMP,DLWZK,MATCH,2,2.01
Biscoit1n,172,22,33,15,-11,103.0,21,6,4,2,9426,IMP,DLWZK,MATCH,2,2.01
gustt1nha,163,27,26,14,1,99.7,22,1,0,1,9426,IMP,DLWZK,MATCH,2,2.01
deNaro,221,41,39,24,2,149.7,15,4,3,1,9427,S5,IMP,MATCH,2,2.01
gaabxx,210,43,39,6,4,135.4,26,11,5,6,9427,S5,IMP,MATCH,2,2.01
prozin,205,40,44,15,-4,127.0,17,8,6,2,9427,S5,IMP,MATCH,2,2.01
fooX,191,41,41,11,0,134.6,18,3,4,-1,9427,S5,IMP,MATCH,2,2.01
fra,181,36,46,13,-10,107.8,16,6,8,-2,9427,S5,IMP,MATCH,2,2.01
tuyz,277,53,39,18,14,167.9,31,2,4,-2,9427,IMP,S5,MATCH,2,2.01
Evilkyk,237,48,37,17,11,178.2,44,7,5,2,9427,IMP,S5,MATCH,2,2.01
Biscoit1n,206,40,48,12,-8,146.7,26,15,13,2,9427,IMP,S5,MATCH,2,2.01
rst,193,39,38,13,1,128.0,26,1,6,-5,9427,IMP,S5,MATCH,2,2.01
gustt1nha,148,29,39,13,-10,100.3,26,1,4,-3,9427,IMP,S5,MATCH,2,2.01
gustt1nha,274,16,9,9,7,141.9,26,3,0,3,10286,IMP,S5,MATCH,1,2.02
rst,269,14,8,4,6,164.8,24,3,2,1,10286,IMP,S5,MATCH,1,2.02
tuyz,250,14,8,0,6,144.6,22,1,1,0,10286,IMP,S5,MATCH,1,2.02
Evilkyk,211,12,8,6,4,150.4,48,0,1,-1,10286,IMP,S5,MATCH,1,2.02
Biscoit1n,199,11,9,3,2,128.1,29,1,3,-2,10286,IMP,S5,MATCH,1,2.02
prozin,222,13,13,2,0,118.2,23,1,3,-2,10286,S5,IMP,MATCH,1,2.02
deNaro,172,8,14,0,-6,114.5,21,2,1,1,10286,S5,IMP,MATCH,1,2.02
gaabxx,154,7,13,6,-6,98.5,28,2,1,1,10286,S5,IMP,MATCH,1,2.02
fra,152,7,13,2,-6,94.0,22,1,2,-1,10286,S5,IMP,MATCH,1,2.02
light,152,7,14,4,-7,107.4,21,1,1,0,10286,S5,IMP,MATCH,1,2.02
mwzera,315,22,13,7,9,256.0,18,5,1,4,10306,GL,IMP,MATCH,1,2.02
Nyang,234,19,12,9,7,148.0,16,2,1,1,10306,GL,IMP,MATCH,1,2.02
Jonn,195,14,15,4,-1,147.3,25,3,3,0,10306,GL,IMP,MATCH,1,2.02
fznnn,193,15,11,5,4,107.3,6,1,1,0,10306,GL,IMP,MATCH,1,2.02
JhoW,193,13,15,5,-2,106.2,10,3,1,2,10306,GL,IMP,MATCH,1,2.02
Evilkyk,268,18,18,8,0,152.0,28,1,1,0,10306,IMP,GL,MATCH,1,2.02
rst,215,16,16,3,0,127.4,12,4,3,1,10306,IMP,GL,MATCH,1,2.02
tuyz,192,15,14,7,1,126.2,26,1,1,0,10306,IMP,GL,MATCH,1,2.02
Biscoit1n,129,10,16,1,-6,137.6,21,0,5,-5,10306,IMP,GL,MATCH,1,2.02
gustt1nha,125,7,19,6,-12,85.0,29,1,4,-3,10306,IMP,GL,MATCH,1,2.02
Evilkyk,200,30,33,8,-3,128.5,25,4,7,-3,10307,IMP,S5,MATCH,2,2.02
Biscoit1n,198,32,35,7,-3,130.4,30,5,9,-4,10307,IMP,S5,MATCH,2,2.02
tuyz,189,30,32,4,-2,122.2,15,2,3,-1,10307,IMP,S5,MATCH,2,2.02
rst,173,23,32,11,-9,116.5,22,4,3,1,10307,IMP,S5,MATCH,2,2.02
gustt1nha,95,15,31,8,-16,66.5,27,0,8,-8,10307,IMP,S5,MATCH,2,2.02
prozin,287,46,25,8,21,177.6,19,7,3,4,10307,S5,IMP,MATCH,2,2.02
fra,217,34,23,6,11,141.6,22,2,2,0,10307,S5,IMP,MATCH,2,2.02
gaabxx,204,32,30,5,2,132.7,24,13,8,5,10307,S5,IMP,MATCH,2,2.02
light,182,28,29,12,-1,139.3,24,6,1,5,10307,S5,IMP,MATCH,2,2.02
deNaro,158,23,23,15,0,107.0,23,2,1,1,10307,S5,IMP,MATCH,2,2.02
gustt1nha,233,19,14,3,5,149.1,22,5,4,1,10339,IMP,Rise,MATCH,1,2.02
rst,217,17,15,4,2,127.1,13,0,1,-1,10339,IMP,Rise,MATCH,1,2.02
tuyz,202,13,17,5,-4,141.1,28,2,2,0,10339,IMP,Rise,MATCH,1,2.02
Biscoit1n,176,14,17,3,-3,116.3,27,3,2,1,10339,IMP,Rise,MATCH,1,2.02
Evilkyk,153,10,17,6,-7,95.6,31,0,3,-3,10339,IMP,Rise,MATCH,1,2.02
glym,259,20,14,5,6,183.2,7,7,0,7,10339,Rise,IMP,MATCH,1,2.02
