Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
flainzz,cypher,208,21,20,3,1,137.0,23,3,2,1,4976,VK,Mix,14,16,6,6,6,6,HAVEN,
NANZIN,sova,193,19,21,5,-2,126.5,38,3,4,-1,4976,VK,Mix,14,16,6,6,6,6,HAVEN,
NikkoLAN,jett,184,16,24,4,-8,122.2,15,4,6,-2,4976,VK,Mix,14,16,6,6,6,6,HAVEN,
FLG1,breach,142,15,21,8,-6,94.8,19,0,1,-1,4976,VK,Mix,14,16,6,6,6,6,HAVEN,
tuyz,reyna,273,28,16,7,12,164.4,21,3,3,0,4976,Mix,VK,16,14,6,6,6,6,HAVEN,
Biscoit1n,jett,267,27,22,6,5,161.6,24,7,3,4,4976,Mix,VK,16,14,6,6,6,6,HAVEN,
txddy,cypher,213,22,22,7,0,124.4,19,2,4,-2,4976,Mix,VK,16,14,6,6,6,6,HAVEN,
Evilkyk,sova,192,21,18,8,3,121.2,20,3,2,1,4976,Mix,VK,16,14,6,6,6,6,HAVEN,
rst,omen,79,9,17,6,-8,52.1,13,1,2,-1,4976,Mix,VK,16,14,6,6,6,6,HAVEN,
NikkoLAN,jett,343,24,15,4,9,215.0,23,6,3,3,4976,VK,Mix,13,7,9,3,4,4,SPLIT,
NANZIN,omen,241,18,14,2,4,142.9,44,3,3,0,4976,VK,Mix,13,7,9,3,4,4,SPLIT,
patochovsk,raze,165,11,8,4,3,117.1,11,1,0,1,4976,VK,Mix,13,7,9,3,4,4,SPLIT,
flainzz,killjoy,131,10,10,4,0,91.6,12,0,0,0,4976,VK,Mix,13,7,9,3,4,4,SPLIT,
FLG1,breach,119,10,13,5,-3,69.3,13,1,3,-2,4976,VK,Mix,13,7,9,3,4,4,SPLIT,
