Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
gaabxx,4,2,0,0.0,1,0,0.0,0.0,0.0,39,1,2,9427,S5,IMP,BIND,
rst,3,2,0,0.0,0,0,0.0,0.0,0.0,45,4,0,9427,IMP,S5,BIND,
Evilkyk,6,1,0,0.0,1,0,0.0,0.0,0.0,57,1,0,9427,IMP,S5,BIND,
gustt1nha,5,0,0,0.0,0,0,0.0,0.0,0.0,39,4,0,9427,IMP,S5,BIND,
tuyz,1,3,1,0.0,0,0,0.0,0.0,0.0,57,2,1,9427,IMP,S5,BIND,
Biscoit1n,4,2,0,0.0,0,0,0.0,0.0,0.0,55,1,0,9427,IMP,S5,BIND,
fooX,2,0,0,0.0,0,0.0,0,0.0,0.0,40,0,0,9425,S5,VKS,ASCENT,
fra,2,0,0,0.0,0,0.0,0,0.0,0.0,38,4,0,9425,S5,VKS,ASCENT,
prozin,1,0,1,0.0,0,0.0,0,0.0,0.0,56,0,0,9425,S5,VKS,ASCENT,
deNaro,2,1,0,0.0,2,0.0,0,0.0,0.0,63,3,1,9425,S5,VKS,ASCENT,
gaabxx,4,1,0,0.0,1,0.0,0,0.0,0.0,83,1,0,9425,S5,VKS,ASCENT,
frz,4,3,0,0.0,1,0.0,0,0.0,0.0,75,0,2,9425,VKS,S5,ASCENT,
Sacy,1,0,0,0.0,1,0.0,0,0.0,0.0,33,0,2,9425,VKS,S5,ASCENT,
saadhak,1,4,1,0.0,1,0.0,1,0.0,0.0,70,3,0,9425,VKS,S5,ASCENT,
gtnziN,2,2,0,0.0,1,0.0,0,0.0,0.0,85,0,0,9425,VKS,S5,ASCENT,
sutecas,1,1,0,0.0,0,0.0,0,0.0,0.0,30,2,0,9425,VKS,S5,ASCENT,
fooX,3,0,0,0,0,0,0.0,0.0,0.0,54,0,0,9425,S5,VKS,BIND,
fra,2,0,0,0,0,0,0.0,0.0,0.0,46,1,0,9425,S5,VKS,BIND,
prozin,2,4,0,0,0,0,0.0,0.0,0.0,58,0,0,9425,S5,VKS,BIND,
deNaro,3,0,0,0,0,1,0.0,0.0,0.0,44,2,0,9425,S5,VKS,BIND,
gaabxx,1,0,0,1,1,0,0.0,0.0,0.0,62,0,2,9425,S5,VKS,BIND,
frz,2,3,0,0,0,0,0.0,0.0,0.0,47,1,0,9425,VKS,S5,BIND,
Sacy,5,0,1,0,1,0,0.0,0.0,0.0,84,1,0,9425,VKS,S5,BIND,
saadhak,1,1,0,0,1,0,0.0,0.0,0.0,37,1,0,9425,VKS,S5,BIND,
gtnziN,4,3,0,0,0,0,0.0,0.0,0.0,75,1,0,9425,VKS,S5,BIND,
sutecas,2,1,0,0,1,0,0.0,0.0,0.0,48,5,0,9425,VKS,S5,BIND,
BRNWOWZK1,4,1,0,0.0,1,0,0.0,0.0,0.0,54,0,0,9261,DLWZ,S5,ASCENT,
fluyr,8,0,1,0.0,0,0,0.0,0.0,0.0,57,0,1,9261,DLWZ,S5,ASCENT,
rhamurti,3,0,0,0.0,0,0,0.0,0.0,0.0,51,1,0,9261,DLWZ,S5,ASCENT,
zam,3,0,0,0.0,0,0,0.0,0.0,0.0,38,1,0,9261,DLWZ,S5,ASCENT,
heat,2,1,0,0.0,0,0,0.0,0.0,0.0,39,0,1,9261,DLWZ,S5,ASCENT,
fooX,5,1,0,0.0,2,2,0.0,0.0,0.0,55,3,0,9261,S5,DLWZ,ASCENT,
fra,2,1,0,0.0,0,0,0.0,0.0,0.0,37,3,0,9261,S5,DLWZ,ASCENT,
prozin,4,3,0,0.0,0,0,0.0,0.0,0.0,82,1,0,9261,S5,DLWZ,ASCENT,
deNaro,1,1,0,0.0,3,0,0.0,0.0,0.0,58,1,1,9261,S5,DLWZ,ASCENT,
gaabxx,3,0,0,0.0,1,0,0.0,0.0,0.0,37,0,0,9261,S5,DLWZ,ASCENT,
akemy,6,2,0,0.0,0,0,0.0,0.0,0.0,75,7,1,9330,fave,S5,HAVEN,
cad,4,0,0,0.0,0,0,0.0,0.0,0.0,55,1,0,9330,fave,S5,HAVEN,
prince,3,0,0,0.0,0,0,0.0,0.0,0.0,49,1,0,9330,fave,S5,HAVEN,
Nether,2,0,0,0.0,0,0,0.0,0.0,0.0,26,0,1,9330,fave,S5,HAVEN,
aspas,3,2,0,0.0,0,0,0.0,0.0,0.0,61,0,0,9330,fave,S5,HAVEN,
fooX,1,0,1,0.0,0,0,0.0,0.0,0.0,66,1,0,9330,S5,fave,HAVEN,
fra,3,0,0,0.0,1,0,0.0,0.0,0.0,40,4,1,9330,S5,fave,HAVEN,
prozin,2,2,0,0.0,0,0,0.0,0.0,0.0,64,0,0,9330,S5,fave,HAVEN,
deNaro,1,2,0,0.0,0,1,0.0,0.0,0.0,58,5,1,9330,S5,fave,HAVEN,
gaabxx,1,2,1,0.0,0,0,0.0,0.0,0.0,58,1,0,9330,S5,fave,HAVEN,
akemy,0,0,0,0.0,0,0.0,0.0,0.0,0.0,34,4,1,9330,fave,S5,BIND,
