Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FDPR,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
JhoW,cypher,195,19,16,9,3,129.3,12,4,2,2,2930,GL,Estral,14,12,ASCENT,1.08,26,53.85,0.73,0.62,0.35,0.15,0.08,W,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,2,1,GL,Estr,1.08,GL,0,2,0.0,4,1,25.0,2,0,0.0,1,1,100.0,19,12,63.0,Estral,1.0,1.08
Jonn,sage,181,16,18,9,-2,106.7,41,3,4,-1,2930,GL,Estral,14,12,ASCENT,1.08,26,53.85,0.62,0.69,0.35,0.12,0.15,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,1,GL,Estr,1.08,GL,0,2,0.0,4,1,25.0,2,0,0.0,1,1,100.0,19,12,63.0,Estral,1.0,1.08
mwzera,raze,284,21,12,3,9,156.6,9,3,3,0,3510,GL,VIMD,13,6,ASCENT,1.09,19,68.42,1.11,0.63,0.16,0.16,0.16,W,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,1,GL,VIMD,1.09,GL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,VIMDOLOL,1.0,1.09
JhoW,cypher,246,15,11,8,4,148.8,9,3,1,2,3510,GL,VIMD,13,6,ASCENT,1.09,19,68.42,0.79,0.58,0.42,0.16,0.05,W,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,0,GL,VIMD,1.09,GL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,VIMDOLOL,1.0,1.09
fznnn,sova,246,16,8,9,8,162.3,25,4,0,4,3510,GL,VIMD,13,6,ASCENT,1.09,19,68.42,0.84,0.42,0.47,0.21,0.0,W,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,3,0,GL,VIMD,1.09,GL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,VIMDOLOL,1.0,1.09
Jonn,sage,172,12,12,8,0,115.8,33,1,0,1,3510,GL,VIMD,13,6,ASCENT,1.09,19,68.42,0.63,0.63,0.42,0.05,0.0,W,2,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,43,0,0,GL,VIMD,1.09,GL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,VIMDOLOL,1.0,1.09
Nyang,omen,148,11,10,6,1,64.1,9,2,2,0,3510,GL,VIMD,13,6,ASCENT,1.09,19,68.42,0.58,0.53,0.32,0.11,0.11,W,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,1,GL,VIMD,1.09,GL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,VIMDOLOL,1.0,1.09
mwzera,raze,418,19,12,3,7,250.5,21,7,0,7,3510,GL,VIMD,13,1,BIND,1.09,14,92.86,1.36,0.86,0.21,0.5,0.0,W,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,0,0,GL,VIMD,1.09,GL,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,9,8,89.0,VIMDOLOL,1.0,1.09
Jonn,reyna,395,22,5,1,17,213.3,49,2,1,1,3510,GL,VIMD,13,1,BIND,1.09,14,92.86,1.57,0.36,0.07,0.14,0.07,W,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,0,0,GL,VIMD,1.09,GL,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,9,8,89.0,VIMDOLOL,1.0,1.09
Nyang,omen,160,10,6,2,4,102.1,40,1,1,0,3510,GL,VIMD,13,1,BIND,1.09,14,92.86,0.71,0.43,0.14,0.07,0.07,W,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,1,0,GL,VIMD,1.09,GL,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,9,8,89.0,VIMDOLOL,1.0,1.09
